Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	ethanol Concentration Relative to CO
960.844	4.0150882451102643e-10	1.4609440980016948e-09	2.3183780415752765e-09	1.7517800250852334e-09
965.719	1.4199420252657573e-10	5.155498964804622e-10	8.0657499312447e-10	6.104525874571908e-10
970.687	5.316634388429847e-11	1.9184488335556818e-10	2.986758360643196e-10	2.2758849163554383e-10
975.797	2.626023935671164e-11	9.392024897414358e-11	1.3442818814405455e-10	1.0610802773112821e-10
981.062	2.021945493696992e-11	7.212607859424077e-11	9.493618163209857e-11	7.733901190939556e-11
986.391	1.9072028034547737e-11	6.808687388548522e-11	8.732664499308394e-11	7.215659087456507e-11
991.734	1.8719605326021906e-11	6.687025905856688e-11	8.574684256054166e-11	7.095400605938039e-11
997.156	1.8712724433323648e-11	6.681439875949323e-11	8.54920560537336e-11	7.076719026044528e-11
1002.56	1.854459188833094e-11	6.622258626019661e-11	8.468746014906599e-11	7.011959463204525e-11
1007.97	1.853997409936965e-11	6.621502974102362e-11	8.460324293270935e-11	7.007404714776318e-11
1013.37	1.846884155201809e-11	6.600354848855661e-11	8.427742549043012e-11	6.983521080576634e-11
1018.78	1.8376464162777383e-11	6.568765120750665e-11	8.384369147684881e-11	6.949107005878424e-11
1024.2	1.8393357209855088e-11	6.573474688667184e-11	8.388777582392433e-11	6.952782380509972e-11
1029.61	1.833943782494733e-11	6.554391944715184e-11	8.364976423687257e-11	6.933005086439302e-11
1035.02	1.8237261925263013e-11	6.517282784458051e-11	8.314738245528284e-11	6.891988916379034e-11
1040.42	1.8167608633525934e-11	6.495077826716127e-11	8.294893767644922e-11	6.874261192393456e-11
1045.83	1.8318177463114232e-11	6.547005614983119e-11	8.365186089781948e-11	6.930861302754721e-11
1051.23	1.8142658410510533e-11	6.483745682727461e-11	8.273449906295194e-11	6.857678105968668e-11
1056.66	1.8066780670875712e-11	6.462605497167164e-11	8.238628467829504e-11	6.833109095330836e-11
1062.06	1.8094236972838745e-11	6.467673208956987e-11	8.245359745187922e-11	6.83692789491833e-11
1067.47	1.8019168115512513e-11	6.442548923339427e-11	8.211870452228679e-11	6.810100005208084e-11
1072.87	1.7951477391043078e-11	6.420048464975191e-11	8.184807869540133e-11	6.787886370690077e-11
1078.28	1.8039975585369933e-11	6.447355818637976e-11	8.224851279878279e-11	6.818298360412146e-11
1083.7	1.7920695089075053e-11	6.407250105298315e-11	8.169322402974892e-11	6.774251838958791e-11
1089.11	1.7918461735351607e-11	6.417019986161638e-11	8.173646160101979e-11	6.783538789915829e-11
