Time	Acetylene Concentration Relative to CO	Ethylene Concentration Relative to CO	Ethane Concentration Relative to CO	ethanol Concentration Relative to CO
904.187	6.18745431879886e-13	-1.913053413477588e-10	7.170158165925235e-10	-4.894612053768658e-10
909.594	7.47430696693014e-13	-1.891718331674829e-10	7.076467113657293e-10	-4.833535363420127e-10
915.0	-1.930560638362143e-11	-4.390704140641434e-09	1.809699029671481e-08	3.606419332897004e-10
920.406	8.017361257182419e-11	-1.2092489525421918e-08	1.446238869212908e-07	-2.42998090260061e-09
925.297	3.2867500980648874e-10	-1.3640202500055036e-08	1.8946628511104876e-07	-2.626335892024012e-09
929.594	3.413562399185499e-10	-1.3244018900409241e-08	2.0092701300485364e-07	-5.978106113298931e-10
933.875	4.954389649356038e-10	-1.5262449287753552e-08	2.1019515829744978e-07	-1.1351991538312273e-09
938.297	2.5970249154029583e-10	-6.572879269424215e-09	1.4596673179226605e-07	-2.0236140231051776e-09
942.734	3.0265493504218804e-11	-2.0479482603879827e-09	5.8401605547224285e-08	-8.203853268192437e-10
947.094	4.80258146360205e-11	-9.40829667621254e-10	2.1630520592931324e-08	-6.313116813280984e-10
951.594	2.967033385551234e-11	-4.946320110483057e-10	8.231181543711345e-09	-4.5850460259761987e-10
956.125	6.9097683740453575e-12	-2.815523471497615e-10	3.3584064786355187e-09	-4.738813473649583e-10
960.844	6.393865487117227e-12	-2.3900761973370324e-10	1.6904101737748155e-09	-5.095368987755465e-10
965.719	1.5100207384003844e-12	-2.092553756634731e-10	1.0832642725593364e-09	-5.094115690781357e-10
970.687	1.2684089320593539e-12	-2.034507117986608e-10	8.71994936654877e-10	-5.067926534763627e-10
975.797	4.82351097223471e-13	-1.9856644119963606e-10	7.94610828109654e-10	-5.056833178420198e-10
981.062	2.4359873006215487e-12	-2.0235400024613975e-10	7.698187082593935e-10	-5.009238458583158e-10
986.391	1.0285814308249243e-12	-1.9687039203303186e-10	7.537618276404807e-10	-5.004156053090225e-10
991.734	9.110751251501965e-13	-1.9442183846189559e-10	7.403676581245069e-10	-4.953208655040998e-10
997.156	1.1350841270552563e-12	-1.9545000398052753e-10	7.393953527779943e-10	-4.956511899277495e-10
1002.56	9.774922281325144e-13	-1.938458422951765e-10	7.323649877796775e-10	-4.918853197079542e-10
1007.97	1.0894999059597057e-12	-1.9430084123804315e-10	7.308898325061756e-10	-4.927512057398459e-10
1013.37	8.203836580273149e-13	-1.929328667528564e-10	7.278153480080481e-10	-4.922351425920764e-10
1018.78	8.77129197812266e-13	-1.9218619961183455e-10	7.234116137567098e-10	-4.905352545024794e-10
1024.2	7.992116138019874e-13	-1.9269371683563467e-10	7.238568682598932e-10	-4.908618832115151e-10
1029.61	8.559978916335513e-13	-1.922270569756179e-10	7.215731242072565e-10	-4.895344417706439e-10
1035.02	9.187720683215028e-13	-1.9146145298259455e-10	7.171527762958602e-10	-4.869179252455965e-10
1040.42	6.976638908313955e-13	-1.9045080952048708e-10	7.143917850935106e-10	-4.855186755552034e-10
1045.83	8.994050936196482e-13	-1.9261354255988388e-10	7.200378608625117e-10	-4.891039309097487e-10
1051.23	8.847831468706666e-13	-1.9086939144027404e-10	7.128846804737434e-10	-4.846218145958445e-10
1056.66	7.16930946974767e-13	-1.8913243248462264e-10	7.094864788890332e-10	-4.844248589534983e-10
1062.06	1.0609072947319103e-12	-1.9025249602432527e-10	7.104691319134368e-10	-4.841021253540782e-10
1067.47	8.220284149065015e-13	-1.8911351657534462e-10	7.075955491114408e-10	-4.825507086067762e-10
1072.87	8.706503252391962e-13	-1.8814370953429707e-10	7.048703844771724e-10	-4.811081680958193e-10
1078.28	8.204801752610467e-13	-1.8994335512485634e-10	7.083235822377229e-10	-4.823194811123521e-10
1083.7	1.0857214632354498e-12	-1.8838874900338126e-10	7.032110277681257e-10	-4.798909012611651e-10
1089.11	2.7003734738684644e-13	-1.8625795076091396e-10	7.032159724761778e-10	-4.827469964435002e-10
