Molecules	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diatomicHydrogen	diethylether	Ethane	ethanol	Ethylene	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water	Acetylene
Electron Numbers	40	42	32	40	40	40	38	38	32	32	40	40	48	40	40	40	48	30	24	32	32	34	22	14	2	42	18	26	16	48	50	32	10	42	26	24	10	14
ionizationEfficiencies	2.1142857142857143	2.2	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.0285714285714285	2.0285714285714285	1.7714285714285714	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.457142857142857	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.457142857142857	1.685714285714286	1.4285714285714284	1.7714285714285714	1.7714285714285714	1.8571428571428572	1.44	1.07	0.43	2.2	1.1714285714285713	1.5142857142857142	1.0857142857142859	2.457142857142857	2.5428571428571427	1.7714285714285714	0.8285714285714285	2.2	1.5142857142857142	1.4285714285714284	0.97	1.0
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	unknown	unknown	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	MadixAndKo
Molecular Mass	72.11	74.12	56.11	70.13	72.11	72.11	70.09	70.09	56.1063	56.11	70.13	70.13	86.13	70.13	70.13	70.13	86.13	54.09	44.05	60.05	58.08	58.12	44.01	28.01	2.02	74.12	30.07	46.07	28.05	88.11	86.18	56.11	16.04	72.15	44.1	42.08	18.02	26.0373
1.500000000000000000e+01	1.028909456872815653e+01	1.600810488558872180e+01	9.658426412222539170e+00	7.780928660461513324e+00	2.978963841004782864e+01	1.052870739344523976e+01	0.000000000000000000e+00	3.399237054339685926e+01	1.214989865336577601e+01	5.278533205061752831e+00	7.166375277888864304e+00	7.212115665812201648e+00	2.479849957203203914e+01	6.851345896262705182e+00	7.499307927268138663e+00	1.926825900147797199e+01	1.279063444108805347e+00	6.815692700765516587e-01	4.620313630089250978e+01	1.000000000000000000e+02	1.000000000000000000e+02	1.742987142806043011e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.790710095754270093e+00	5.219935626727734146e+00	9.971885591162491735e+00	3.559047018223455150e-01	5.305004100419476742e+01	1.212828765770990636e+01	2.378839927530535903e+01	8.679111929308947992e+01	5.348695986124555546e+00	9.129202870085913801e+00	1.595079747992219055e+01	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	3.898931391813568736e-01	5.636933816164065858e-01	4.491753271697909722e-01	0.000000000000000000e+00	0.000000000000000000e+00	9.630837958837028534e-01	0.000000000000000000e+00	0.000000000000000000e+00	3.271306654531879743e-01	4.909675299404431259e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.730978995876550686e-01	0.000000000000000000e+00	2.324453939597591889e-01	7.371265570644836451e+00	1.430829997481945703e+01	7.241159549197662137e+00	2.967234773398010339e-01	1.000000000000000000e+02	2.063448292650983174e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.213793113324107831e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.043793477408203607e+00	4.271550553878252776e-01	5.291022227150319335e-01	1.000000000000000000e+02	0.000000000000000000e+00	5.181909012755596677e-01	5.934469546796020678e-01	8.755623391301170511e-01	0.000000000000000000e+00
1.700000000000000000e+01	5.947086489992078340e-01	3.343698667656233581e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.106286348919323093e+00	0.000000000000000000e+00	1.025089908143371353e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.217892219035892953e-01	0.000000000000000000e+00	3.952013768033053598e-01	6.026882612635695580e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.093721749743073346e+00	0.000000000000000000e+00	1.061407082099449672e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.667841139548106755e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.099217051468647099e+01	0.000000000000000000e+00
1.800000000000000000e+01	3.006115928054299502e+00	4.668069368256692608e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.210077315953570265e+00	0.000000000000000000e+00	1.324185276495263963e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.726562128435134014e-01	0.000000000000000000e+00	1.451627402875158790e+00	1.717090585798106872e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.318300332286287402e-01	0.000000000000000000e+00	8.687662956893644761e-01	0.000000000000000000e+00	2.146067820616507138e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00
1.900000000000000000e+01	4.029222124046609732e-01	7.249266501457515943e+00	4.641854354268500349e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.290161187965675360e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.402130301502302112e-01	1.338768263711328232e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.571998826739329003e+00	0.000000000000000000e+00	4.430178511719926604e+00	0.000000000000000000e+00	1.078673962034615075e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.371377845979297350e-01	6.746060124807703673e+00	5.026783542696857676e-01	0.000000000000000000e+00
2.000000000000000000e+01	2.013963493292008078e-01	1.132333800855442191e-01	4.640362294688504252e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.070670348204949107e+00	5.517729570700101505e+00	3.015100651786878916e-01	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.330477274153069323e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.330477274153069323e-01	3.047400811835893619e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	3.179273635901725542e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.007186333566950509e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	1.899559764516134674e-01	0.000000000000000000e+00	4.376765287517550007e-01	0.000000000000000000e+00	0.000000000000000000e+00	5.213494686602089256e-01	0.000000000000000000e+00	0.000000000000000000e+00	3.187561859328953418e-01	4.783988595013116130e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.529896768536655904e-01	8.836193064691030274e-01	1.166695427700796595e+00	0.000000000000000000e+00	2.891274157454845062e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.913601263562567878e-01	9.132897966516557720e-01	2.720256581238781557e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.155573117782050740e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.262313294955861309e-01	8.673822472364534075e-01	0.000000000000000000e+00	5.350594342678915538e+00
2.500000000000000000e+01	1.105803281315696607e+00	0.000000000000000000e+00	3.821812959160862277e+00	5.834248833399304779e-01	0.000000000000000000e+00	3.405906425531652459e+00	1.108624208053746685e+01	1.217757780191591621e+01	2.783394681193865239e+00	2.320779084783497925e+00	5.373448135719677277e-01	0.000000000000000000e+00	1.410976264795677837e+00	5.568935107460274425e-01	6.095613888155870796e-01	3.654395304045314208e-01	2.061978161526375197e-01	5.493789056900646450e+00	2.927107814793409091e+00	2.263920402939942456e+00	1.038938709310038888e+01	5.610388452841064133e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.452621382332720534e-01	4.016277756084972950e+00	3.573448600538492226e+00	8.962036935721039654e+00	9.867919662614944576e-01	0.000000000000000000e+00	2.000831904038069986e+00	0.000000000000000000e+00	5.748421819537945510e-01	6.123656516304202269e-01	5.049349607556957942e+00	0.000000000000000000e+00	1.985151112875507806e+01
