Source:	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook	NIST Webbook
Molecules	1butanal	1butanol	1butene	1pentene	2butanone	2buten1ol(crotyl alcohol)	2butenalE(crotonaldehyde)	2butenalZ(crotonaldehyde)	2buteneE	2buteneZ	2methylbut1ene	2methylbut2ene	2pentanone	2penteneE	2penteneZ	3methylbut1ene	3pentanone	13butadiene	acetaldehyde	aceticacid	acetone	butane	carbon dioxide	carbon monoxide	diatomicHydrogen	diethylether	Ethane	ethanol	Ethylene	ethylacetate	hexane	isobutene	methane	pentane	propane	propene	water	Acetylene
Electron Numbers	40	42	32	40	40	40	38	38	32	32	40	40	48	40	40	40	48	30	24	32	32	34	22	14	2	42	18	26	16	48	50	32	10	42	26	24	10	14
ionizationEfficiencies	2.1142857142857143	2.2	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.0285714285714285	2.0285714285714285	1.7714285714285714	1.7714285714285714	2.1142857142857143	2.1142857142857143	2.457142857142857	2.1142857142857143	2.1142857142857143	2.1142857142857143	2.457142857142857	1.685714285714286	1.4285714285714284	1.7714285714285714	1.7714285714285714	1.8571428571428572	1.44	1.07	0.43	2.2	1.1714285714285713	1.5142857142857142	1.0857142857142859	2.457142857142857	2.5428571428571427	1.7714285714285714	0.8285714285714285	2.2	1.5142857142857142	1.4285714285714284	0.97	1.0
ionizationEfficienciesSources	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	unknown	unknown	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo	unknown	MadixAndKo
Molecular Mass	72.11	74.12	56.11	70.13	72.11	72.11	70.09	70.09	56.1063	56.11	70.13	70.13	86.13	70.13	70.13	70.13	86.13	54.09	44.05	60.05	58.08	58.12	44.01	28.01	2.02	74.12	30.07	46.07	28.05	88.11	86.18	56.11	16.04	72.15	44.1	42.08	18.02	26.0373
1.500000000000000000e+01	5.400540054005400492e+00	1.046104610461046214e+01	2.200220022002200349e+00	1.290129012901290118e+00	4.000400040004000957e+00	6.040604060406041143e+00	0.000000000000000000e+00	6.210621062106210566e+00	3.800380038003800642e+00	1.100110011001100174e+00	1.290129012901290118e+00	1.190119011901190182e+00	1.700170017001700229e+00	1.190119011901190182e+00	1.190119011901190182e+00	5.100510051005100465e+00	6.000600060006000547e-01	3.000300030003000273e-01	3.649364936493649481e+01	1.709170917091709185e+01	1.201120112011201257e+01	6.010601060106011140e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.190319031903190439e+00	4.400440044004400697e+00	6.640664066406641197e+00	3.000300030003000273e-01	5.200520052005201066e+00	5.810581058105810826e+00	4.600460046004601011e+00	8.879887988798880372e+01	9.000900090009000820e-01	7.210721072107211249e+00	5.500550055005501093e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	2.000200020002000367e-01	3.600360036003600328e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	5.400540054005400492e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	1.000100010001000184e-01	5.690569056905690815e+00	2.390239023902390514e+00	8.500850085008501145e-01	1.000100010001000184e-01	9.610961096109610580e+00	1.700170017001700229e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	2.000200020002000367e-01	1.000100010001000184e-01	1.000000000000000000e+02	0.000000000000000000e+00	4.000400040004000735e-01	2.000200020002000367e-01	9.000900090009000820e-01	0.000000000000000000e+00
1.700000000000000000e+01	3.000300030003000273e-01	2.100210021002100191e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.100610061006100926e-01	0.000000000000000000e+00	1.800180018001800164e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	3.000300030003000273e-01	9.900990099009902012e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.640164016401640223e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.122212221222122253e+01	0.000000000000000000e+00
1.800000000000000000e+01	1.500150015001500137e+00	2.900290029002900449e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.600660066006600601e-01	0.000000000000000000e+00	2.300230023002300506e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e-01	0.000000000000000000e+00	1.090109010901090247e+00	2.790279027902790254e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.000400040004000735e-01	0.000000000000000000e+00	5.500550055005500871e-01	0.000000000000000000e+00	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00
1.900000000000000000e+01	2.000200020002000367e-01	4.480448044804481000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.900990099009902012e-01	0.000000000000000000e+00	2.790279027902790254e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.000700070007001008e-01	2.200220022002200349e+00	5.000500050005001196e-01	0.000000000000000000e+00
2.000000000000000000e+01	1.000100010001000184e-01	7.000700070007001563e-02	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.000800080008001469e-01	1.800180018001800164e+00	3.000300030003000273e-01	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	2.000200020002000298e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.900190019001900321e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	1.000100010001000184e-01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	3.000300030003000273e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.000200020002000367e-01	7.000700070007001008e-01	2.000200020002000367e-01	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.000500050005001196e-01	6.100610061006100926e-01	2.300230023002300506e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	3.000300030003000273e-01	0.000000000000000000e+00	5.000500050005000752e+00
2.500000000000000000e+01	6.000600060006000547e-01	0.000000000000000000e+00	9.000900090009000820e-01	1.000100010001000184e-01	0.000000000000000000e+00	2.020202020202020332e+00	5.000500050005000752e+00	2.300230023002300506e+00	9.000900090009000820e-01	5.000500050005001196e-01	1.000100010001000184e-01	0.000000000000000000e+00	1.000100010001000184e-01	1.000100010001000184e-01	1.000100010001000184e-01	1.000100010001000184e-01	1.000100010001000184e-01	2.500250025002500376e+00	2.390239023902390514e+00	4.000400040004000735e-01	1.290129012901290118e+00	2.000200020002000367e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.000100010001000184e-01	3.500350035003500615e+00	2.460246024602460224e+00	7.810781078107811304e+00	1.000100010001000184e-01	0.000000000000000000e+00	4.000400040004000735e-01	0.000000000000000000e+00	1.000100010001000184e-01	5.000500050005001196e-01	1.800180018001800164e+00	0.000000000000000000e+00	1.912191219121912411e+01
