Time	ethyne Concentration Relative to CO	ethene Concentration Relative to CO	ethane Concentration Relative to CO	ethanol Concentration Relative to CO
1018.78	-2.6835021672303705e-11	-2.11174246943171e-10	6.731076536195378e-10	-2.795208673307209e-10
1024.2	-2.6939910395638664e-11	-2.1170617695888214e-10	6.735499667201473e-10	-2.7971789779115955e-10
1029.61	-2.6807386382009787e-11	-2.1121320029993453e-10	6.714592639368229e-10	-2.789626512317103e-10
1035.02	-2.659928602463591e-11	-2.103935085246384e-10	6.674161089976007e-10	-2.7747852913334217e-10
1040.42	-2.673701807482865e-11	-2.0936846819922169e-10	6.648829819797218e-10	-2.766670561068815e-10
1045.83	-2.6747567996331098e-11	-2.1166201598036157e-10	6.701516850183968e-10	-2.787323177710717e-10
1051.23	-2.6508677380863545e-11	-2.09784272142493e-10	6.635479529769112e-10	-2.7617800125396807e-10
1056.66	-2.6635477144839708e-11	-2.0822649989681887e-10	6.605718460547534e-10	-2.7601432172763125e-10
1062.06	-2.628983553967347e-11	-2.0925761549260082e-10	6.614292444394777e-10	-2.758680532693795e-10
1067.47	-2.643602938296572e-11	-2.0808854420061858e-10	6.5877635207367e-10	-2.749680168281931e-10
1072.87	-2.6296775250997732e-11	-2.0709678291387338e-10	6.562708974080655e-10	-2.7413365720715306e-10
1078.28	-2.64423940767372e-11	-2.0885356113778708e-10	6.594124827741446e-10	-2.748640371331492e-10
1083.7	-2.6021276939707957e-11	-2.0730213146399372e-10	6.547608694867221e-10	-2.734610081352457e-10
1089.11	-2.6952912636486144e-11	-2.0551070482180054e-10	6.549520338395645e-10	-2.7498991155972407e-10
